top,Aatrox,Akali,Akshan,Camille,ChoGath,Darius,DrMundo,Fiora,Gangplank,Garen,Gnar,Gragas,Gwen,Heimerdinger,Illaoi,Irelia,Jax,Jayce,KSante,Kayle,Kennen,Kled,Lillia,Malphite,Malzahar,Maokai,Mordekaiser,Nasus,Olaf,Ornn,Pantheon,Poppy,Quinn,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Sett,Shen,Singed,Sion,Sylas,TahmKench,Teemo,Trundle,Tryndamere,Udyr,Urgot,Vayne,Vladimir,Volibear,Warwick,MonkeyKing,Yasuo,Yone,Yorick,Zac
jungle,Amumu,BelVeth,Blitzcrank,Diana,Ekko,Elise,Evelynn,Fiddlesticks,Gragas,Graves,Hecarim,JarvanIV,Jax,Karthus,Kayn,KhaZix,Kindred,LeeSin,Lillia,Maokai,MasterYi,Mordekaiser,Nidalee,Nocturne,Nunu,Olaf,Pantheon,Poppy,Rammus,RekSai,Rengar,Sejuani,Shaco,Shyvana,Skarner,Taliyah,Talon,Trundle,Twitch,Udyr,Vi,Viego,Volibear,Warwick,MonkeyKing,XinZhao,Zac,Zed,Ivern,,,,,,,,,,
adc,Aphelios,Ashe,Caitlyn,Draven,Ezreal,Jhin,Jinx,KaiSa,Kalista,KogMaw,Lucian,MissFortune,Nilah,Samira,Seraphine,Sivir,Tristana,Twitch,Varus,Vayne,Xayah,Zeri,Ziggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
support,Alistar,Amumu,Ashe,Bard,Blitzcrank,Brand,Braum,Galio,Heimerdinger,Janna,Karma,Leona,Lulu,Lux,Malphite,Maokai,MissFortune,Morgana,Nami,Nautilus,Neeko,Pantheon,Pyke,Rakan,Rell,Renata,Senna,Seraphine,Shaco,Sona,Soraka,Swain,TahmKench,Taric,Teemo,Thresh,Twitch,Veigar,VelKoz,Xerath,Yuumi,Zilean,Zyra,,,,,,,,,,,,,,,,
mid,Ahri,Akali,Akshan,Anivia,Annie,Azir,Brand,Cassiopeia,Corki,Diana,Ekko,Fizz,Galio,Gangplank,Garen,Gragas,Heimerdinger,Irelia,Kassadin,Katarina,LeBlanc,Lissandra,Lux,Malphite,Malzahar,Neeko,Orianna,Pantheon,Qiyana,Renekton,Rumble,Ryze,Sett,Singed,Swain,Sylas,Syndra,Taliyah,Talon,Tristana,TwistedFate,Twitch,Varus,Veigar,VelKoz,Vex,Viktor,Vladimir,Xerath,Yasuo,Yone,Zed,Ziggs,Zoe,AurelionSol,,,,
